Car Count,Vehicle ID,Name,Model,Year,Stock Number,Mileage,Fuel Type,MPG City,MPG Highway,Vehicle Type,Price
50,1GKKNLLS2KZ146752,GMC,GMC Acadia,2019,8F69DH,65467,Gasoline,18,25,Sport Utility,"25,999"
51,2C4RC1BG7MR574752,Chrysler,Chrysler Pacifica,2021,7VQT6N,73320,Gasoline,19,28,Van / Minivan,"25,999"
52,1C4RDHAGXKC769628,Dodge,Dodge Durango,2019,8FBJ87,49103,Gasoline,19,26,Crossover,"26,499"
53,1C6RR7LG7MS542521,RAM,RAM 1500 Classic,2021,7VHRCB,67577,Gasoline,16,23,Truck,"27,999"
54,1V2HR2CA5MC551715,Volkswagen,Volkswagen Atlas,2021,7VXQ9R,66017,Gasoline,16,22,Crossover,"28,499"
55,1FM5K8F83KGB10381,Ford,Ford Explorer,2019,7RV5YY,73349,Gasoline,18,25,Crossover,"28,999"
56,1GNEVGKW1MJ215184,Chevrolet,Chevrolet Traverse,2021,8F48F0,62458,Gasoline,17,25,Sport Utility,"29,999"
57,1GCGTCEN5M1209584,Chevrolet,Chevrolet Colorado,2021,7V3HBP,65230,Gasoline,17,24,Truck,"29,999"
58,1C6RRFGG9LN421765,RAM,RAM 1500,2020,8F315W,81621,Hybrid,19,24,Truck,"29,999"
59,1GCGTCEN8M1150904,Chevrolet,Chevrolet Colorado,2021,7TDK81,63445,Gasoline,17,24,Truck,"30,799"
60,2C3CDXMG0MH528838,Dodge,Dodge Charger,2021,8D14RG,64299,Gasoline,18,27,Sedan,"30,999"
61,JN8AY2AC9M9145318,Nissan,Nissan Armada,2021,8CN2DR,76496,Gasoline,14,19,Sport Utility,"30,999"
62,ZASPAKAN5K7C29714,Alfa Romeo,Alfa Romeo Stelvio,2019,8F6V96,17847,Gasoline,22,28,Luxury Car,"31,499"
63,1C4HJXDN8MW624310,Jeep,Jeep Wrangler,2021,7VJTW9,66720,Gasoline,20,24,Convertible,"33,299"
64,1C4HJXDN3MW630368,Jeep,Jeep Wrangler,2021,7V2NTX,63050,Gasoline,20,24,Convertible,"33,499"
65,1C6RRFFG3LN240808,RAM,RAM 1500,2020,7V0MXC,65617,Hybrid,19,24,Truck,"33,499"
66,3KPC24A67LE113408,Hyundai,Hyundai Accent,2020,7TKJ2F,64810,Gasoline,33,41,Sedan,"15,999"
67,5NPD84LF1LH622387,Hyundai,Hyundai Elantra,2020,7TJTQS,66714,Gasoline,30,40,Sedan,"16,499"
68,KM8K12AAXLU471672,Hyundai,Hyundai Kona,2020,7TYCL3,71302,Gasoline,27,33,Crossover,"16,499"
69,KNDJ23AU8L7108864,Kia,Kia Soul,2020,7T4KC0,65330,Gasoline,29,35,Hatchback,"16,999"
70,1FMCU0HD3JUB59786,Ford,Ford Escape,2018,8F4B9Y,83277,Gasoline,23,30,Crossover,"17,499"
71,KM8K12AA6MU662328,Hyundai,Hyundai Kona,2021,7T5HY4,66498,Gasoline,27,33,Crossover,"18,499"
72,5YFEPRAE1LP124630,Toyota,Toyota Corolla,2020,8CGBKK,66877,Gasoline,30,38,Sedan,"18,499"
73,JM1GL1UM1M1613723,Mazda,Mazda Mazda6,2021,8F51K3,88061,Gasoline,26,35,Sedan,"18,999"
74,1G1ZD5ST0MF023970,Chevrolet,Chevrolet Malibu,2021,7TDG5Y,60558,Gasoline,29,36,Sedan,"19,499"
75,1G1ZD5ST6MF075541,Chevrolet,Chevrolet Malibu,2021,7VNHYF,67511,Gasoline,29,36,Sedan,"19,999"
76,5NPEG4JA1MH068879,Hyundai,Hyundai Sonata,2021,7T3XKF,67679,Gasoline,28,38,Sedan,"19,999"
77,1G1ZD5ST8MF023294,Chevrolet,Chevrolet Malibu,2021,7TCG9S,70104,Gasoline,29,36,Sedan,"19,999"
78,5N1AT2MT7KC743487,Nissan,Nissan Rogue,2019,8DN695,72461,Gasoline,26,33,Crossover,"19,999"
79,1HGCV1F41JA121261,Honda,Honda Accord Sedan,2018,8DDT4V,98378,Gasoline,30,38,Sedan,"19,999"
